Rank,Company_Name,Company_Website,Company_Type,Company_Location
46,Softchoice,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa912f2412f0881d98393,11.4 Information Technology // IT Consulting,"Toronto, Ontario"
47,"The Adecco Group, Canada",https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa912f2412f0881d983a1,Professional Services / Staffing & Recruitment,"Toronto, Ontario"
48,Thomson Reuters Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa913f2412f0881d983a9,Media / Publishing and printing,"Toronto, Ontario"
49,SC Johnson,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa911f2412f0881d98387,Manufacturing & Production / Fast Moving Consumer Goods,"Brantford, Ontario"
50,FCT,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90df2412f0881d98300,Financial Services & Insurance / Home Insurance,"Oakville, Ontario"
1,Traction on Demand,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa913f2412f0881d983b7,Information Technology / IT Consulting,"Burnaby, British Columbia"
2,Ian Martin Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa912f2412f0881d983a5,Professional Services / Staffing & Recruitment,"Oakville, Ontario"
3,The PEER Group Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa912f2412f0881d983a7,Information Technology / Software,"Kitchener, Ontario"
4,Explorance,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90df2412f0881d982fa,Information Technology / Software,"Montreal, Quebec"
5,Online Business Systems,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa910f2412f0881d9835b,Information Technology / IT Consulting,"Winnipeg, Manitoba"
6,Wave,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/59398e0a643d184fb504d74b,Information Technology / Software,"Toronto, Ontario"
7,Klick Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ff2412f0881d98333,Professional Services / Advertising and Marketing,"Toronto, Ontario"
8,Resolver Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa911f2412f0881d98373,Information Technology / Software,"Toronto, Ontario"
9,Points International Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa910f2412f0881d98365,Information Technology / Software,"Toronto, Ontario"
10,Doctors of BC,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90bf2412f0881d982b2,Professional Services / Association ,"Vancouver, British Columbia"
11,FreshBooks,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ef2412f0881d98306,Information Technology / Software,"Toronto, Ontario"
12,Axonify Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90bf2412f0881d982ae,Information Technology / Software,"Waterloo, Ontario"
13,Intelex Technologies Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ef2412f0881d98325,Information Technology / Software,"Toronto, Ontario"
14,Security Compass,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5ba4f5feb902b2340a3bb057,Information Technology / Software,"Toronto, Ontario"
15,Gardiner Roberts LLP,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ef2412f0881d9830f,Professional Services / Legal,"Toronto, Ontario"
16,Beyond Technologies,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90bf2412f0881d982b6,Information Technology / IT Consulting,"Montreal, Quebec"
17,Bath Fitter Distributing Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5a0378e1d35c045042ba9be0,Manufacturing & Production,"Saint-Eustache, Quebec"
18,Flipp Corporation,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90df2412f0881d98304,Information Technology / Software,"Toronto, Ontario"
19,Royal LePage Performance Realty,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa911f2412f0881d98377,"Construction, Infrastructure & Real Estate /  Real Estate","Ottawa, Ontario"
20,Geotab,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/59638bc850913a4dcf4e1474,Information Technology / Software,"Oakville, Ontario"
21,Urban Systems Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa913f2412f0881d983c7,Professional Services / Consulting Engineering,"Kamloops, British Columbia"
22,Dejero,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5b2bd4d322beaa1345e69a18,Information Technology,"Waterloo, Ontario"
23,Fuller Landau LLP,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ef2412f0881d98309,"Professional Services  / Accounting, bookkeeping and auditing","Toronto, Ontario"
24,BlueCat,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90bf2412f0881d982bc,Information Technology / Software,"North York, Ontario"
25,Credit Counselling Society,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90cf2412f0881d982e0,Non-profit and Charity Organisations,"New Westminster, British Columbia"
26,Lakeside Process Controls Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ff2412f0881d98339,Industrial Services / Engineering,"Mississauga, Ontario"
27,Optimus SBR,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5b928420a2ae5109fb0b81a8,Professional Services / Consulting / Management,"Toronto, Ontario"
28,Saskatchewan Research Council,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa911f2412f0881d98383,Social Services and Government Agencies,"Saskatoon, Saskatchewan"
29,WFCU Credit Union,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5bbcff58db349172721ecaac,Financial Services & Insurance,"Windsor, Ontario"
30,Open Door Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa910f2412f0881d9835d,Social Services and Government Agencies / Human health and social work activities,"Vancouver, British Columbia"
31,CapriCMW,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90cf2412f0881d982ce,Financial Services & Insurance / General Insurance,"Kelowna, British Columbia"
32,JMP Solutions,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90ef2412f0881d98329,Professional Services / Consulting Engineering,"London, Ontario"
33,Trico Homes,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa913f2412f0881d983bb,"Construction, Infrastructure & Real Estate","Calgary, Alberta"
34,360insights,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90af2412f0881d98290,Information Technology / Software,"Whitby, Ontario"
35,Beedie,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90bf2412f0881d982b4,"Construction, Infrastructure & Real Estate ","Burnby, British Columbia"
36,Q4 Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5bd0adf936d7aa7a4ad6f07d,Information Technology / Software,"Toronto, Ontario"
37,Vermilion Energy,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa913f2412f0881d983cb,Manufacturing & Production / Energy,"Calgary, Alberta"
38,Knowledge First Financial Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5a2eaba1014946574475d8be,Financial Services & Insurance,"Mississauga, Ontario"
39,O2E Brands Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa910f2412f0881d98359,Professional Services,"Vancouver, British Columbia"
40,Reid's Heritage Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/59a0245b4771b92948e7dcc3,"Construction, Infrastructure & Real Estate ","Cambridge, Ontario"
41,Binnie,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/593b0448cb8df7562a2a7cad,Professional Services / Consulting Engineering,"Burnaby, British Columbia"
42,Boston Pizza International Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/59398ece7096404c39a826b3,Hospitality / Food and Beverage Service,"Richmond, British Columbia"
43,Lamour,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5a1f16b63e6f615f45060c75,Manufacturing & Production / Textiles and textile products ,"Montreal, Quebec"
44,T4G Ltd,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa912f2412f0881d9839b,Information Technology / IT Consulting,"Toronto, Ontario"
45,First National Financial LP,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/59f9e6a6c0f0184ba783136b,Financial Services & Insurance / Banking/Credit Services,"Toronto, Ontario"
46,Voices.com,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa913f2412f0881d983cd,Information Technology / Internet Service Provider,"London, Ontario"
47,Richardson GMP,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/5bb51b7aa785cc6dadccde9e,Financial Services & Insurance / Investments,"Toronto, ON"
48,MOSAIC (Multi-Lingual Orientation Service Association for Immigrant Communities),https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa910f2412f0881d9834f,Non-profit and Charity Organizations,"Vancouver, British Columbia"
49,Toyotoshi Group Canada - Quebec Operations,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa913f2412f0881d983b5,Retail,"Mississauga, Ontario"
